mission name,datetime,"initial pos (x,y)",mission duration (s),pipeline found,time searching pipeline (s),distance inspected (m),mean reaction time (s)
suave none,01-Jul-2025-08-48-28,"(-16.99, 2.83)",251,True,249,0,0
suave none,01-Jul-2025-08-53-52,"(-17.0, 2.8)",251,True,229,1.5,0
suave none,01-Jul-2025-08-59-15,"(-17.0, 2.8)",251,True,186,15.5,0
suave none,01-Jul-2025-09-04-43,"(-17.0, 2.8)",251,True,185,16.7609233856201,0
suave none,01-Jul-2025-09-10-07,"(-16.99, 2.84)",251,False,251,0,0
suave none,01-Jul-2025-09-15-30,"(-17.0, 3.14)",251,True,190,14,0
suave none,01-Jul-2025-09-20-53,"(-16.99, 3.19)",251,True,191,14.5,0
suave none,01-Jul-2025-09-26-17,"(-17.0, 3.14)",251,True,186,11.5,0
suave none,01-Jul-2025-09-31-40,"(-16.99, 3.19)",251,True,168,7.5,0
suave none,01-Jul-2025-09-37-03,"(-17.0, 3.14)",251,True,201,11.5,0
suave none,01-Jul-2025-09-42-26,"(-16.99, 3.33)",251,True,190,10,0
suave none,01-Jul-2025-09-47-49,"(-17.0, 3.28)",251,True,191,14.5,0
suave none,01-Jul-2025-09-53-17,"(-17.0, 3.28)",251,True,199,8,0
suave none,01-Jul-2025-09-58-41,"(-17.0, 3.28)",251,True,204,11.5,0
suave none,01-Jul-2025-10-04-03,"(-16.99, 3.33)",251,False,251,0,0
suave none,01-Jul-2025-10-09-27,"(-16.99, 2.59)",251,True,187,16.652307510376,0
suave none,01-Jul-2025-10-14-50,"(-17.0, 2.55)",251,True,190,15,0
suave none,01-Jul-2025-10-20-14,"(-17.0, 2.55)",251,True,143,28.1142406463623,0
suave none,01-Jul-2025-10-25-37,"(-16.99, 2.55)",251,True,177,8.5,0
suave none,01-Jul-2025-10-31-05,"(-17.0, 2.55)",251,True,239,0.5,0
suave none,01-Jul-2025-10-36-29,"(-17.0, 3.31)",251,True,197,13,0
suave none,01-Jul-2025-10-41-51,"(-16.99, 3.32)",251,True,124,13,0
suave none,01-Jul-2025-10-47-14,"(-16.99, 3.35)",251,True,122,12.5,0
suave none,01-Jul-2025-10-52-38,"(-17.0, 3.31)",251,True,125,17,0
suave none,01-Jul-2025-10-58-01,"(-17.0, 3.31)",251,True,125,12.5,0
suave none,01-Jul-2025-11-03-25,"(-16.99, 3.21)",251,True,204,4,0
suave none,01-Jul-2025-11-08-48,"(-17.0, 3.16)",251,True,195,12.5,0
suave none,01-Jul-2025-11-14-10,"(-17.0, 3.17)",251,True,192,14.5,0
suave none,01-Jul-2025-11-19-33,"(-17.0, 3.17)",251,True,197,13,0
suave none,01-Jul-2025-11-24-55,"(-17.0, 3.17)",251,True,188,15.5,0
