mission name,datetime,"initial pos (x,y)",mission duration (s),pipeline found,time searching pipeline (s),distance inspected (m),mean reaction time (s)
suave random,01-Jul-2025-06-06-45,"(-16.99, 2.81)",251,True,133,2,32.941326891
suave random,01-Jul-2025-06-12-07,"(-17.0, 2.8)",251,False,251,0,52.209184119
suave random,01-Jul-2025-06-17-30,"(-17.0, 2.8)",251,True,196,2.5,0
suave random,01-Jul-2025-06-22-53,"(-16.99, 2.84)",251,True,130,3,27.3606021053333
suave random,01-Jul-2025-06-28-16,"(-17.0, 2.8)",251,True,117,1.5,0
suave random,01-Jul-2025-06-33-38,"(-16.99, 3.15)",251,True,209,0,12.4513890035
suave random,01-Jul-2025-06-39-01,"(-17.0, 3.15)",251,True,201,3,104.7823942
suave random,01-Jul-2025-06-44-25,"(-16.99, 3.19)",251,True,231,0,0
suave random,01-Jul-2025-06-49-48,"(-17.0, 3.15)",251,False,251,0,29.87040055
suave random,01-Jul-2025-06-55-11,"(-16.99, 3.19)",251,True,239,0,26.220568672
suave random,01-Jul-2025-07-00-38,"(-16.99, 3.29)",251,True,223,2,114.383122194
suave random,01-Jul-2025-07-06-01,"(-17.0, 3.28)",251,True,156,1,49.176082417
suave random,01-Jul-2025-07-11-25,"(-16.99, 3.32)",251,True,213,5.5,0
suave random,01-Jul-2025-07-16-53,"(-17.0, 3.28)",251,True,74,4,29.749990838
suave random,01-Jul-2025-07-22-14,"(-17.0, 3.28)",251,True,178,2,27.2800945605
suave random,01-Jul-2025-07-27-37,"(-16.99, 2.59)",251,True,222,0,68.913625394
suave random,01-Jul-2025-07-33-01,"(-17.0, 2.55)",251,True,199,0.5,34.2286524265
suave random,01-Jul-2025-07-38-24,"(-16.99, 2.59)",251,True,72,3.5,26.786208897
suave random,01-Jul-2025-07-43-52,"(-17.0, 2.55)",251,True,168,3,37.2768745685
suave random,01-Jul-2025-07-49-16,"(-17.0, 2.55)",251,False,251,0,98.858067103
suave random,01-Jul-2025-07-54-37,"(-16.99, 3.31)",251,True,151,6.5,89.446741178
suave random,01-Jul-2025-08-00-00,"(-17.0, 3.31)",251,True,137,2.5,20.999564834
suave random,01-Jul-2025-08-05-22,"(-17.0, 3.31)",251,False,251,0,59.9288107235
suave random,01-Jul-2025-08-10-45,"(-17.0, 3.31)",251,True,132,4.5,27.7094543673333
suave random,01-Jul-2025-08-16-09,"(-17.0, 3.31)",251,False,251,0,64.275046154
suave random,01-Jul-2025-08-21-31,"(-17.0, 3.16)",251,False,251,0,143.701585738
suave random,01-Jul-2025-08-26-55,"(-16.99, 3.17)",251,True,187,0.5,142.887762018
suave random,01-Jul-2025-08-32-18,"(-16.99, 3.18)",251,True,146,3,29.8848950795
suave random,01-Jul-2025-08-37-41,"(-17.0, 3.16)",251,True,207,3.5,49.265733812
suave random,01-Jul-2025-08-43-05,"(-17.0, 3.16)",251,True,210,2,0
