mission name,datetime,"initial pos (x,y)",mission duration (s),pipeline found,time searching pipeline (s),distance inspected (m),mean reaction time (s)
suave bt,02-Jul-2025-04-14-20,"(-17.0, 2.8)",250,True,44,59.6165046691895,0.0743543423333333
suave bt,02-Jul-2025-04-19-41,"(-16.99, 2.84)",250,True,44,59.1162261962891,0.0727581196666667
suave bt,02-Jul-2025-04-25-03,"(-17.0, 2.8)",250,True,45,60.6170616149902,0.076190983
suave bt,02-Jul-2025-04-30-24,"(-17.0, 2.8)",250,True,45,60.6170616149902,0.074580549
suave bt,02-Jul-2025-04-35-45,"(-16.99, 2.8)",250,True,44,60.6170616149902,0.121871509
suave bt,02-Jul-2025-04-41-07,"(-16.99, 3.15)",250,True,111,37.6135902404785,0.09604619425
suave bt,02-Jul-2025-04-46-28,"(-17.0, 3.15)",250,True,110,38.1135139465332,0.09139322925
suave bt,02-Jul-2025-04-51-48,"(-17.0, 3.15)",250,True,111,38.1135139465332,0.09258352825
suave bt,02-Jul-2025-04-57-09,"(-16.99, 3.15)",250,True,110,37.6135902404785,0.0917586335
suave bt,02-Jul-2025-05-02-29,"(-17.0, 3.14)",250,True,112,37.1136627197266,0.0911910745
suave bt,02-Jul-2025-05-07-49,"(-17.0, 3.28)",250,True,121,35.6138153076172,0.102832544
suave bt,02-Jul-2025-05-13-10,"(-16.99, 3.32)",250,True,121,35.6138153076172,0.0621824458
suave bt,02-Jul-2025-05-18-31,"(-17.0, 3.28)",250,True,122,35.6138153076172,0.0866322712
suave bt,02-Jul-2025-05-23-52,"(-16.99, 3.28)",250,True,123,34.6139678955078,0.1029295212
suave bt,02-Jul-2025-05-29-13,"(-17.0, 3.28)",250,True,121,35.6138153076172,0.0599906744
suave bt,02-Jul-2025-05-34-34,"(-16.99, 2.59)",250,True,108,38.6134376525879,0.082832923
suave bt,02-Jul-2025-05-39-55,"(-16.99, 2.59)",250,True,109,38.6134376525879,0.084757709
suave bt,02-Jul-2025-05-45-15,"(-16.99, 2.59)",250,True,109,38.6134376525879,0.083774457
suave bt,02-Jul-2025-05-50-36,"(-16.99, 2.6)",250,True,108,38.1135139465332,0.08212567725
suave bt,02-Jul-2025-05-55-57,"(-17.0, 2.55)",250,True,108,38.6134376525879,0.0824571435
suave bt,02-Jul-2025-06-01-17,"(-17.0, 3.31)",250,True,113,37.1136627197266,0.06697507
suave bt,02-Jul-2025-06-06-38,"(-17.0, 3.31)",250,True,114,36.6137390136719,0.104719235
suave bt,02-Jul-2025-06-11-58,"(-16.99, 3.36)",250,True,114,36.6137390136719,0.06853442125
suave bt,02-Jul-2025-06-17-19,"(-17.0, 3.31)",250,True,114,36.6137390136719,0.06960736775
suave bt,02-Jul-2025-06-22-39,"(-16.99, 3.35)",250,True,113,37.6135902404785,0.06701585975
suave bt,02-Jul-2025-06-28-00,"(-17.0, 3.17)",250,True,51,57.6153945922852,0.0676835026666667
suave bt,02-Jul-2025-06-33-21,"(-17.0, 3.16)",250,True,50,58.6159477233887,0.0687270123333333
suave bt,02-Jul-2025-06-38-42,"(-16.99, 3.17)",250,True,51,57.1151161193848,0.0681958393333333
suave bt,02-Jul-2025-06-44-03,"(-17.0, 3.17)",250,True,51,57.1151161193848,0.115710995666667
suave bt,02-Jul-2025-06-49-23,"(-17.0, 3.16)",250,True,50,57.6153945922852,0.0673844696666667
