mission name,datetime,"initial pos (x,y)",mission duration (s),pipeline found,time searching pipeline (s),distance inspected (m),mean reaction time (s)
suave suave_planta,01-Jul-2025-22-17-02,"(-16.99, 2.83)",251,True,50,43.1129112243652,2.8058722445
suave suave_planta,01-Jul-2025-22-33-10,"(-16.99, 2.83)",251,True,49,46.6124572753906,2.9048901945
suave suave_planta,01-Jul-2025-22-38-45,"(-17.0, 2.8)",254,True,50,52.6128883361816,2.7803060805
suave suave_planta,01-Jul-2025-22-44-17,"(-17.0, 2.8)",251,True,68,33.6144180297852,2.72628460433333
suave suave_planta,03-Jul-2025-22-33-19,"(-17.0, 2.8)",254,True,51,51.6123313903809,2.7122381135
suave suave_planta,01-Jul-2025-22-49-50,"(-16.99, 3.17)",251,True,81,34.6144180297852,12.79726821675
suave suave_planta,01-Jul-2025-22-55-23,"(-17.0, 3.15)",251,False,251,0,10.2498096645
suave suave_planta,03-Jul-2025-23-16-44,"(-17.0, 3.15)",251,True,82,27.6122932434082,12.75514935625
suave suave_planta,01-Jul-2025-23-16-53,"(-17.0, 3.15)",251,True,83,28.1125717163086,12.81688669675
suave suave_planta,03-Jul-2025-22-49-59,"(-16.99, 3.15)",251,False,251,0,10.5708997885
suave suave_planta,01-Jul-2025-23-22-25,"(-17.0, 3.28)",251,True,73,39.1136627197266,15.0604593473333
suave suave_planta,01-Jul-2025-23-27-57,"(-16.99, 3.3)",251,False,251,0,12.9851218625
suave suave_planta,01-Jul-2025-23-33-21,"(-17.0, 3.28)",251,True,73,45.612606048584,15.1937444936667
suave suave_planta,01-Jul-2025-23-49-30,"(-17.0, 3.28)",251,True,63,42.6131362915039,15.1991892246667
suave suave_planta,03-Jul-2025-23-22-17,"(-17.0, 3.28)",251,True,64,46.6125335693359,14.922339025
suave suave_planta,01-Jul-2025-23-55-03,"(-16.99, 2.58)",251,True,69,35.6142692565918,16.7968961463333
suave suave_planta,02-Jul-2025-00-11-17,"(-17.0, 2.55)",251,False,251,0,12.012888462
suave suave_planta,02-Jul-2025-00-16-40,"(-17.0, 2.55)",252,True,70,41.6133613586426,25.146203402
suave suave_planta,02-Jul-2025-00-22-14,"(-16.99, 2.57)",251,True,69,42.6132125854492,17.0059727156667
suave suave_planta,03-Jul-2025-23-49-42,"(-17.0, 2.55)",251,True,69,46.612606048584,16.9497507953333
suave suave_planta,02-Jul-2025-00-27-47,"(-16.99, 3.32)",251,True,153,15.7827701568604,10.9378736928333
suave suave_planta,02-Jul-2025-00-33-20,"(-17.0, 3.31)",251,True,155,17.6092338562012,10.9127860468333
suave suave_planta,02-Jul-2025-00-38-53,"(-17.0, 3.31)",251,True,139,27.6145191192627,12.2486854332
suave suave_planta,02-Jul-2025-00-44-25,"(-16.99, 3.35)",251,True,141,19.109790802002,11.6906522728
suave suave_planta,04-Jul-2025-00-17-03,"(-16.99, 3.34)",251,True,154,16.8264636993408,10.9836247733333
suave suave_planta,02-Jul-2025-01-11-08,"(-17.0, 3.16)",251,True,152,21.1111812591553,13.1686260188
suave suave_planta,04-Jul-2025-00-44-29,"(-16.99, 3.17)",251,True,56,51.1117782592774,6.1112041105
suave suave_planta,02-Jul-2025-01-22-09,"(-16.99, 3.17)",254,True,53,51.6120567321777,6.0505415785
suave suave_planta,02-Jul-2025-01-27-42,"(-16.99, 3.19)",251,True,54,38.1137390136719,6.021698334
suave suave_planta,04-Jul-2025-00-50-01,"(-16.99, 3.19)",251,True,54,46.6124572753906,5.965979696
