mission name,datetime,"initial pos (x,y)",mission duration (s),pipeline found,time searching pipeline (s),distance inspected (m),mean reaction time (s)
suave rosa,02-Jul-2025-01-33-13,"(-17.0, 2.8)",250,True,57,54.613166809082,1.355905987
suave rosa,02-Jul-2025-01-38-35,"(-17.0, 2.8)",250,True,49,57.1153945922852,1.8003340415
suave rosa,02-Jul-2025-01-43-57,"(-16.99, 2.84)",250,True,56,55.6140022277832,1.66188800333333
suave rosa,02-Jul-2025-01-49-20,"(-17.0, 2.8)",250,True,56,56.1142807006836,1.41273064966667
suave rosa,02-Jul-2025-01-54-42,"(-17.0, 2.8)",250,True,65,47.6122283935547,1.798902656
suave rosa,02-Jul-2025-02-00-04,"(-17.0, 3.15)",250,True,114,36.6137390136719,1.0098977166
suave rosa,02-Jul-2025-02-05-28,"(-17.0, 3.14)",250,True,114,36.6137390136719,1.1783184852
suave rosa,02-Jul-2025-02-10-49,"(-17.0, 3.14)",250,True,114,36.6137390136719,0.9999058956
suave rosa,02-Jul-2025-02-16-11,"(-17.0, 3.15)",250,True,114,36.6137390136719,1.2011035566
suave rosa,02-Jul-2025-02-21-34,"(-17.0, 3.15)",250,True,114,36.6138153076172,1.1543959432
suave rosa,02-Jul-2025-02-26-57,"(-17.0, 3.28)",250,True,124,32.6142692565918,1.0072677276
suave rosa,02-Jul-2025-02-32-19,"(-16.99, 3.29)",250,True,126,32.1143455505371,1.0018237402
suave rosa,02-Jul-2025-02-37-40,"(-17.0, 3.28)",250,True,124,33.6141166687012,1.077625438
suave rosa,02-Jul-2025-02-43-03,"(-17.0, 3.28)",250,True,124,33.6141166687012,1.0122512108
suave rosa,02-Jul-2025-02-48-24,"(-16.99, 3.28)",250,True,125,34.6139678955078,1.0057058484
suave rosa,04-Jul-2025-02-32-45,"(-16.99, 2.56)",250,True,120,33.6142692565918,0.69156090825
suave rosa,02-Jul-2025-02-59-10,"(-17.0, 2.55)",250,True,112,37.6135139465332,0.786118073333333
suave rosa,02-Jul-2025-03-04-32,"(-16.99, 2.56)",250,True,119,33.6141929626465,0.8431318605
suave rosa,02-Jul-2025-03-09-54,"(-17.0, 2.55)",250,True,120,32.6144180297852,0.741272768
suave rosa,02-Jul-2025-03-15-17,"(-17.0, 2.55)",250,True,122,35.1140403747559,0.702095905
suave rosa,02-Jul-2025-03-20-39,"(-16.99, 3.35)",250,True,121,32.6144943237305,1.0824900104
suave rosa,02-Jul-2025-03-26-01,"(-16.99, 3.31)",250,True,114,36.1138153076172,1.0729259796
suave rosa,02-Jul-2025-03-31-23,"(-16.99, 3.32)",250,True,115,36.6138153076172,1.106311369
suave rosa,02-Jul-2025-03-36-45,"(-16.99, 3.31)",250,True,115,35.6139678955078,1.2170209638
suave rosa,02-Jul-2025-03-42-07,"(-17.0, 3.31)",250,True,115,36.1138153076172,1.0353481804
suave rosa,02-Jul-2025-03-47-29,"(-17.0, 3.16)",250,True,52,56.6148376464844,1.20147543933333
suave rosa,02-Jul-2025-03-52-51,"(-16.99, 3.21)",250,True,52,55.6142807006836,1.35331963433333
suave rosa,02-Jul-2025-03-58-14,"(-17.0, 3.17)",250,True,54,55.6142807006836,1.11836173433333
suave rosa,04-Jul-2025-03-26-24,"(-17.0, 3.16)",250,True,65,51.1119270324707,1.22301328225
suave rosa,02-Jul-2025-04-08-58,"(-16.99, 3.17)",250,True,54,55.1140022277832,1.47641929466667
