mission name,datetime,"initial pos (x,y)",mission duration (s),pipeline found,time searching pipeline (s),distance inspected (m),mean reaction time (s)
suave suave_planta,12-Jul-2025-13-24-06,"(-16.99, 2.82)",253,True,63,43.1130599975586,0
suave suave_planta,12-Jul-2025-13-29-38,"(-16.99, 2.83)",250,True,61,10.5,1.51522328966667
suave suave_planta,12-Jul-2025-16-13-08,"(-17.0, 2.8)",250,True,229,2.5,1.53041320633333
suave suave_planta,12-Jul-2025-13-40-36,"(-17.0, 2.8)",253,True,62,7,1.8533603045
suave suave_planta,12-Jul-2025-13-46-07,"(-17.0, 2.8)",250,True,61,11,1.9876660445
suave suave_planta,12-Jul-2025-13-51-39,"(-17.0, 3.15)",250,True,161,4,1.8373113105
suave suave_planta,12-Jul-2025-13-57-12,"(-17.0, 3.15)",250,True,158,1.5,1.54379197166667
suave suave_planta,12-Jul-2025-14-02-44,"(-16.99, 3.17)",250,True,158,3.5,1.46600333966667
suave suave_planta,12-Jul-2025-14-08-17,"(-17.0, 3.15)",250,True,167,3.5,1.9386325205
suave suave_planta,12-Jul-2025-14-13-49,"(-17.0, 3.15)",250,True,163,0,1.8981426995
suave suave_planta,12-Jul-2025-17-08-50,"(-17.0, 3.28)",250,True,160,2.5,2.0040712605
suave suave_planta,12-Jul-2025-14-24-43,"(-17.0, 3.28)",250,True,71,10,1.48030944233333
suave suave_planta,12-Jul-2025-14-30-14,"(-16.99, 3.28)",250,True,72,13,1.48249260966667
suave suave_planta,12-Jul-2025-17-14-23,"(-17.0, 3.28)",250,True,161,3.5,1.52445609133333
suave suave_planta,12-Jul-2025-17-19-55,"(-16.99, 3.29)",250,True,164,2,1.551977509
suave suave_planta,12-Jul-2025-14-47-35,"(-17.0, 2.55)",250,True,57,11.5,1.64408408733333
suave suave_planta,12-Jul-2025-14-53-07,"(-16.99, 2.55)",250,True,59,7.5,1.39231820533333
suave suave_planta,12-Jul-2025-14-58-38,"(-17.0, 2.55)",250,True,57,12,2.0871212375
suave suave_planta,12-Jul-2025-15-04-10,"(-16.99, 2.56)",250,True,57,11.5,1.46148989866667
suave suave_planta,12-Jul-2025-15-09-42,"(-17.0, 2.55)",250,True,55,12,1.47715370133333
suave suave_planta,12-Jul-2025-15-15-14,"(-17.0, 3.31)",250,True,159,3,1.854381508
suave suave_planta,12-Jul-2025-15-20-45,"(-16.99, 3.32)",250,True,163,3.5,1.9345364405
suave suave_planta,12-Jul-2025-15-26-18,"(-17.0, 3.31)",250,True,166,0,1.64175290866667
suave suave_planta,12-Jul-2025-15-31-50,"(-16.99, 3.33)",250,True,160,4,1.51559367066667
suave suave_planta,12-Jul-2025-15-37-23,"(-17.0, 3.31)",250,True,162,5,1.47875208566667
suave suave_planta,12-Jul-2025-18-38-42,"(-17.0, 3.17)",250,True,167,5.5,1.49477737766667
suave suave_planta,12-Jul-2025-16-01-09,"(-17.0, 3.16)",250,True,161,0,1.57543982733333
suave suave_planta,12-Jul-2025-18-44-14,"(-17.0, 3.16)",250,True,159,3.5,1.51749037866667
suave suave_planta,12-Jul-2025-18-49-44,"(-17.0, 3.16)",250,True,165,4.5,2.013898997
suave suave_planta,10-Jul-2025-12-25-00,"(-17.0, 3.16)",250,True,164,3,1.51753356866667
