mission name,datetime,"initial pos (x,y)",mission duration (s),pipeline found,time searching pipeline (s),distance inspected (m),mean reaction time (s)
suave_extended rosa,06-Jul-2025-03-58-59,"(-17.0, 2.8)",250,True,50,25.1117362976074,1.70313486775
suave_extended rosa,06-Jul-2025-04-04-20,"(-17.0, 2.8)",250,True,51,25.1117362976074,1.766382202
suave_extended rosa,06-Jul-2025-04-09-42,"(-16.99, 2.8)",250,True,51,24.6114597320557,1.736677847
suave_extended rosa,06-Jul-2025-04-15-04,"(-17.0, 2.8)",250,True,50,24.6114597320557,1.6718874505
suave_extended rosa,06-Jul-2025-04-20-27,"(-17.0, 2.8)",250,True,51,24.6114597320557,1.7532196
suave_extended rosa,06-Jul-2025-04-25-49,"(-16.99, 3.18)",250,True,116,7,1.13068276671429
suave_extended rosa,06-Jul-2025-04-31-12,"(-17.0, 3.15)",250,True,115,6,1.23742860014286
suave_extended rosa,06-Jul-2025-04-36-33,"(-17.0, 3.15)",250,True,122,7,1.25089200228571
suave_extended rosa,06-Jul-2025-04-41-55,"(-17.0, 3.15)",250,True,134,11,1.283696927
suave_extended rosa,07-Jul-2025-22-47-55,"(-17.0, 3.15)",250,True,118,7,1.33188146228571
suave_extended rosa,06-Jul-2025-04-52-38,"(-16.99, 3.28)",250,True,73,1.82646358013153,1.4970509302
suave_extended rosa,06-Jul-2025-04-58-00,"(-16.99, 3.32)",250,True,131,7.5,1.262683092
suave_extended rosa,06-Jul-2025-05-03-23,"(-16.99, 3.32)",250,True,127,7,1.21733985314286
suave_extended rosa,06-Jul-2025-05-08-44,"(-16.99, 3.3)",250,True,125,7,1.40299251114286
suave_extended rosa,06-Jul-2025-05-14-06,"(-17.0, 3.28)",250,True,69,18,1.4706122966
suave_extended rosa,06-Jul-2025-05-19-29,"(-17.0, 2.55)",250,True,113,5,1.1220003926
suave_extended rosa,06-Jul-2025-05-24-51,"(-16.99, 2.59)",250,True,113,5.5,1.0539954228
suave_extended rosa,06-Jul-2025-05-30-12,"(-16.99, 2.59)",250,True,241,0.5,1.1139110014
suave_extended rosa,06-Jul-2025-05-35-34,"(-17.0, 2.55)",250,True,120,7,1.12329575666667
suave_extended rosa,06-Jul-2025-05-40-55,"(-17.0, 2.55)",250,True,127,2.5,1.22398382383333
suave_extended rosa,06-Jul-2025-05-46-17,"(-16.99, 3.35)",250,True,115,8,1.44734324657143
suave_extended rosa,06-Jul-2025-05-51-44,"(-16.99, 3.31)",250,True,115,7,1.27699772785714
suave_extended rosa,06-Jul-2025-05-57-06,"(-17.0, 3.31)",250,True,120,8,1.21382977142857
suave_extended rosa,06-Jul-2025-06-02-28,"(-16.99, 3.32)",250,True,116,7.5,1.22660686514286
suave_extended rosa,06-Jul-2025-06-07-50,"(-17.0, 3.31)",250,True,116,8,1.26297419685714
suave_extended rosa,06-Jul-2025-06-13-11,"(-17.0, 3.17)",250,True,64,20.152307510376,1.4995577685
suave_extended rosa,06-Jul-2025-06-18-33,"(-17.0, 3.17)",250,True,65,19.6304607391357,1.368111789
suave_extended rosa,06-Jul-2025-06-23-55,"(-17.0, 3.16)",250,True,65,2.5,1.51579489833333
suave_extended rosa,06-Jul-2025-06-29-17,"(-16.99, 3.18)",250,True,53,21.6095123291016,1.6480511348
suave_extended rosa,08-Jul-2025-00-35-25,"(-16.99, 3.17)",250,True,130,11,1.353891286875
,,,,AVERAGE,101.866666666667,11.2425531983376,1.37223024971433
,,,,STD,40.7318678367597,8.02108827597836,0.211422692391897
